site,sample,date,datetime,group,latitude,longitude,CRS,habitat,CH4.ugL,CO2.ugL,N2O.ugL,CH4.sat,CO2.sat,N2O.sat,pH,level_m.inst,discharge.inst,depth.inst,watertemp_C.inst,DO.obs.inst,DO.sat.inst,spc_uScm.inst,airtemp_C.inst,airpres_kPa.inst,distance_upstream_m,width_march_m,ws_area_km2,slope_wbx,cl_mgl,so4_mgl,br_mgl,no3n_mgl,na_mgl,k_mgl,mg_mgl,ca_mgl,doc_mgl,tdn_mgl,nh4n_mgl,po4p_mgl,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600_2.5,K600_97.5,depth,spc_uScm,DO.obs,DO.sat,watertemp_C,discharge,airpres_kPa,airtemp_C,slope_mm
CBP,CBP_2019-11-11,2019-11-11,2019-11-11T18:30:00Z,2019-11-11,35.98549,-79.022675,WGS84,pool,7.6492217805,4300.8550534999995,0.607127609,0.065238978,1018.131041,0.590640362,NA,0.4870918762986447,0.34598506607565926,0.29564294575511013,8.05033,10.57,11.798098168238496,99,20,100.78797774802445,3450,18.3,66.04436851,0.037,12.5150844,13.00590552,NA,0.044629105,NA,NA,NA,NA,3.876,0.1392,0.005,0.00721,0.15347299264169714,0,0.5412078199738857,1.73133000912483,2.775332945972495,0.6946172637662019,5.366803354056029,2.847861184104825,8.038692251980569,0.2981609675738044,99.18645833333333,10.370416666666667,11.775616673384993,8.168920208333333,0.35928347825728396,101.13628345926489,12.890104166666667,0.00387463147802864
CBP,CBP_2019-11-20,2019-11-20,2019-11-20T18:30:00Z,2019-11-20,35.98549,-79.022675,WGS84,pool,3.558607241,2711.0953285,0.0558141485,0.062852711,967.7348709,0.559712967,7.18,0.5426452201919565,0.8412349765529235,0.3620901618490297,9.34633,10.37,11.450784484136577,85.7,15.3,100.94463286067608,3450,18.3,66.04436851,0.037,10.41619253,11.7564827,NA,0.026882222,NA,NA,NA,NA,3.609,0.1187,0.005,0.00487,0.2356143402548937,0,0.635916297436407,4.032151282233414,5.36476777304547,2.800609828186633,10.405006183049185,7.765683757906944,13.244023023269342,0.36282709733365315,85.73541666666667,10.318958333333333,11.548849496730428,8.968711302083333,0.849568833348289,101.14873137593156,9.4515625,0.00387463147802864
CBP,CBP_2019-11-26,2019-11-26,2019-11-26T18:30:00Z,2019-11-26,35.98549,-79.022675,WGS84,pool,2.116654957,2670.7706129999997,0.3598372775,0.065593615,1022.745731,0.593196539,7.19,0.6592434923978459,1.089999508298409,0.38414049906057246,7.582,11.28,11.924255684347004,96.9,17.8,101.15209019969754,3450,18.3,66.04436851,0.037,14.15083184,13.86311605,NA,0.023382837,NA,NA,NA,NA,4.651,0.1559,0.005,1.14,0.34949208411020716,0,0.7272826620743442,3.234787036532979,4.182129912634514,2.284259529939205,10.86970033209548,8.156339955117527,13.42967829833763,0.38693919238028746,96.73958333333333,10.9840625,11.904696201179036,7.659645833333333,1.126342443875604,100.99503345926489,10.108333333333333,0.00387463147802864
CBP,CBP_2019-12-03,2019-12-03,2019-12-03T16:15:00Z,2019-12-03,35.98549,-79.022675,WGS84,pool,2.3504515615,2444.7303155,0.1804256435,0.065548052,1029.406894,0.598040661,7.02,0.6403975929774484,0.982811602609423,0.3751730220997813,7.0985,11.215,11.988124363281036,78.05000000000001,8.575000000000001,99.72098684681126,3450,18.3,66.04436851,0.037,11.92233326,10.6992148,NA,0.280212717,NA,NA,NA,NA,5.821,0.4894,0.005,0.00834,0.41262164209188995,0.04451117141012382,0.7739837707070054,2.6900301588777036,3.5862832368245,1.776494370904265,10.870691052373854,8.076407883544574,13.810988434583377,0.37833390004300227,79.72552083333333,11.06828125,11.858904674422124,7.477005208333333,1.0245101077159098,100.17138762593156,5.743229166666667,0.00387463147802864
CBP,CBP_2019-12-12,2019-12-12,2019-12-12T18:30:00Z,2019-12-12,35.98549,-79.022675,WGS84,pool,1.7921902735000002,2554.0784169999997,0.556585157,0.070538037,1122.766122,0.654331822,7.29,0.5482212448820578,1.0346110277362954,0.3795961388500664,5.6,12.34,12.785685018700171,88,6.4,102.70451820929627,3450,18.3,66.04436851,0.037,14.41,11.29,0.1,0.0888,7.9,NA,4.17,13.55,4.317,0.2295,0.005,0.005,0.5309440295824857,0.14356574197633412,0.9141403364391676,2.6431851909404536,3.5725049093574226,1.7400740621116564,10.66094919367388,7.968671933918545,13.441714595699706,0.38299217257986345,87.52604166666667,11.910104166666667,12.768791476030556,5.614895833333334,1.0763628078723158,102.89722095926489,2.277604166666667,0.00387463147802864
CBP,CBP_2020-01-05,2020-01-05,2020-01-05T18:15:00Z,2020-01-05,35.98549,-79.022675,WGS84,pool,1.616680632,1719.0229775,0.335839624,0.063489441,980.1850062,0.567252206,7.1,1.1916774377677406,1.28732437863139,0.399006028702414,9.1,11.2,11.544316503979314,60.1,9.4,101.17711686280913,3450,18.3,66.04436851,0.037,6.91,6.7,0.015,0.2737,5.04,NA,2.53,7.26,8.738,0.539,0.005,0.005,0.6420270540620054,0.24648478223249626,1.0286160099720356,2.795871999883562,3.7375084669192455,1.871780590413159,11.626631685047922,8.696424538729149,14.638226309006514,0.4166720897409332,60.45520833333333,10.895624999999999,11.475442881442016,9.265208333333334,1.6971456651959609,101.20883554259822,6.059375,0.00387463147802864
CBP,CBP_2020-01-29,2020-01-29,2020-01-29T17:30:00Z,2020-01-29,35.98549,-79.022675,WGS84,pool,1.4801846429999999,1832.4860835,0.7423650385,0.067822266,1071.831479,0.623594814,6.93,1.1346830860745367,0.5228679279553178,0.3248551903972952,6.38,12.16,12.313026256777643,65.6,9.15,100.91963552698724,3450,18.3,66.04436851,0.037,8.83,8.36,0.08,0.2955,5.68,NA,2.99,9.22,3.801,0.4099,0.005,0.005,0.594504206122112,0.20764507784874414,0.9769112218379147,1.4849039501801626,2.263281920563154,0.6994212123294732,7.165180549220873,4.790566196267668,9.461915090680405,0.32850698697169356,65.22083333333333,11.462708333333333,12.25411803630739,6.565625,0.5499084518620414,101.17732512593156,4.413020833333333,0.00387463147802864
CBP,CBP_2020-02-12,2020-02-12,2020-02-12T17:00:00Z,2020-02-12,35.98549,-79.022675,WGS84,pool,1.0109187225,1748.587455,0.494403073,0.058333469,873.3319036,0.502104946,6.89,1.2308620564874682,2.4090873439783707,0.4603461956933138,12.492,10.272,10.66763663020041,56.22,12.2,101.16378530701657,3450,18.3,66.04436851,0.037,5.19,5.66,0.015,0.1737,4.14,NA,2.3,7.11,6.638,0.4062,0.005,0.0140384,0.28198079546158744,0,0.6928281070107563,1.4154025798872663,2.1888110450744653,0.6334179786545533,8.792985852629782,6.192102419058511,11.7430212478922,0.4575553858014925,56.81041666666667,10.1578125,10.62946373533762,12.533541666666666,2.4141473931316746,101.15477304259822,12.500520833333333,0.00387463147802864
CBP,CBP_2020-02-27,2020-02-27,2020-02-27T17:15:00Z,2020-02-27,35.98549,-79.022675,WGS84,pool,0.9513622875000001,1088.4086765,0.567793767,0.061038314,931.3571389,0.537615565,7.2,1.1426209766342237,0.4029130879089989,0.3060998916248997,10.4133,11.65,11.1232997980774,68.5,7.1000000000000005,100.82935637593155,3450,18.3,66.04436851,0.037,8.02,7.4,0.07,0.097,5.63,NA,2.88,9.08,3.97,0.211,0.005,0.005,0.9928743926197312,0.5119784707637902,1.4594367758785762,1.2594343556547156,2.0465598198044037,0.4588418919818686,7.016851081804765,4.640102176716041,9.67618982639317,0.30846923204259297,68.74270833333334,10.83375,11.113648530871577,10.383333333333333,0.4176169401959473,100.6465959592649,6.251041666666667,0.00387463147802864
CBP,CBP_2020-03-11,2020-03-11,2020-03-11T19:45:00Z,2020-03-11,35.98549,-79.022675,WGS84,pool,2.4450671785,366.56289334999997,0.51725893,0.055460255,816.115197,0.46757478,7.66,NA,0.22775354803416345,0.2687386195071499,14.3,10.951000000000006,9.823262389090385,94.06666666666668,23.175,100.55632530168396,3450,18.3,66.04436851,0.037,10.73,8.15,0.09,0.0193,6.85,NA,3.9,12.94,2.471,0.1166,0.005,0.005,NA,NA,NA,NA,NA,NA,2.5385120973945043,0.93829937834699,4.1519940030495,0.26932689788241093,94.06666666666668,10.951000000000006,9.823262389090385,14.3,0.229969826157436,101.0415959592649,17.6046875,0.00387463147802864
