site,sample,date,group,habitat,CH4.ugL,CO2.ugL,N2O.ugL,CH4.sat,CO2.sat,N2O.sat,discharge.inst,depth.inst,watertemp_C.inst,DO.obs.inst,DO.sat.inst,spc_uScm.inst,distance_upstream_m,width_march_m,ws_area_km2,slope_wbx,no3n_mgl,doc_mgl,tdn_mgl,nh4n_mgl,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600_2.5,K600_97.5,depth,DO.obs,DO.sat,watertemp_C,discharge,slope_mm,CH4.flux_ugld,CO2.flux_ugld,N2O.flux_ugld,O2.flux_ugld
PM,PM_2020-01-05,2020-01-05,2020-01-05,pool,0.960267141,1420.5735475,0.2445083625,0.063401662,977.9482553,0.565844978,1.0392237176139634,0.4029068433609929,9.28,11.2,11.48354348878016,65.1,1570,18.5,68.63434374,0.042,0.2463,8.767,0.5549,0.005588,0.2423631785036036,0,0.7363696635130674,2.5891800654579304,3.7669406478926737,1.372930125701314,13.274383839677396,9.06238721191682,17.96419586264726,0.4243505894568435,10.954791666666669,11.461133883649111,9.317291666666666,1.5290148199935387,0.00439823050281498,8.471424326033198,4180.503640524569,-2.9443390419718787,-5206.529649947633
PM,PM_2020-01-29,2020-01-29,2020-01-29,pool,1.113416804,1671.8546660000002,0.7226269255,0.068037888,1075.239077,0.625577365,0.5356918403930316,0.3586853175215837,6.380421052631579,11.906,12.329582972959686,69.38315789473685,1570,18.5,68.63434374,0.042,0.3203,3.979,0.416,0.14465,0.3720524544493686,0,0.9015831215004702,1.506220086171273,2.60197198017182,0.4190693073145682,8.477205623806299,4.824431586086575,12.24806453266418,0.3585947602375743,11.705416666666666,12.27749329414569,6.549133771929825,0.5358378626411205,0.00439823050281498,5.800781805042151,3301.5263989763216,0.5178473142400184,-3466.686086038754
PM,PM_2020-02-12,2020-02-12,2020-02-12,pool,0.700666357,1560.1583665,0.504017091,0.058449087,875.0628733,0.503100133,2.289418536569827,0.4627899793753962,12.44,10.37,10.681653170025326,56,1570,18.5,68.63434374,0.042,0.1793,6.063,0.3664,0.019907,0.2317575434122379,0,0.7723539163979073,1.1094567420859167,2.1189769066890505,0.11193614596588536,8.275970330342384,4.48015012371995,12.302408687021742,0.45596518769787914,10.319583333333334,10.625025453408574,12.5521875,2.149156855673471,0.00439823050281498,4.1291713940490045,4417.1502899224315,0.00576410472274704,-2143.9159140097845
PM,PM_2020-02-27,2020-02-27,2020-02-27,pool,1.1578607980000002,893.75288785,0.5843984195,0.061492257,939.9796765,0.542804507,0.4051715165159349,0.34153618400552116,10.3,11.28,11.15454216805119,67.45,1570,18.5,68.63434374,0.042,0.0996,4.226,0.2314,0.005,0.9207142960815732,0.27959048757519384,1.5004620308677434,1.068999092657279,2.102668974089213,0.0251939818552541,6.614415180670874,3.367048231664956,10.187037288612808,0.3438125154765717,10.850833333333334,11.07241832575116,10.540208333333334,0.4216493779233451,0.00439823050281498,5.310780415461358,-224.11215688912463,0.19598852832764008,-1168.643623396316
PM,PM_2020-03-11,2020-03-11,2020-03-11,pool,1.844973819,268.2473417,0.4767949555,0.054889032,804.0438613,0.460245634,0.2261611600687636,0.3083267772955672,16.9502864,10.452500000000017,9.617247397009336,94.06666666666668,1570,18.5,68.63434374,0.042,0.0055,2.481,0.1103,0.005,0.956336784130864,0.3192122187129911,1.6033673479062998,1.4496073699483465,2.4822419991453915,0.44354178880133194,4.062428325338345,1.301343632372291,6.857716658327325,0.30845593705156027,9.881857638888896,10.155286486752177,14.608659625,0.2267283338799882,0.00439823050281498,6.354269123514422,-1914.465675550435,0.0578161216167314,-1077.1448123518658
UNHC,UNHC_2019-11-11,2019-11-11,2019-11-11,run,14.13018955,5302.483838,0.663206562,0.064528423,1004.329239,0.582278176,0.36747679691801094,0.2816953504864305,8.3,7.74,11.720091133167209,144.9,8450,13.8,58.01544528,0.018,0.181355084,2.895,0.2587,0.005,0.07035421351502327,0,0.4976834416769831,6.457051979274431,10.419057598641029,2.365864425407446,6.9642084220276095,2.308483425802679,11.425481947156497,0.28425452275000385,7.85875,11.730410013499815,8.322291666666667,0.3819830741444876,0.00188495565416643,67.78011310693047,20691.67192217348,0.3772356946978155,-20320.329889936056
UNHC,UNHC_2019-11-20,2019-11-20,2019-11-20,run,12.94632405,5592.0991165,0,0.062897059,969.291002,0.560724309,0.8774528089810406,0.34679835414164184,9.3,7.7,11.463451052690434,92.11428571428571,8450,13.8,58.01544528,0.018,0.02316432,2.171,0.09697,0.00139252,0,0,0.4402360740047233,5.277519734726382,8.632463190421046,2.086160119027689,5.550800182824453,2.0283872207033418,9.261975550951384,0.3475778519699024,8.1353125,11.442217373884288,9.353270833333331,0.8859401487453842,0.00188495565416643,50.91529249482157,18268.124077049102,-2.149755419539648,-14226.956477677326
UNHC,UNHC_2019-12-03,2019-12-04,2019-12-03,run,4.0717366104999995,2910.2987355,0.8121127865,0.064216075,1000.367049,0.580098798,0.6099671874570972,0.3179456107426091,6.877,9.91,12.003438237916928,83.7356162981163,8450,13.8,58.01544528,0.018,0.18998888,2.955,0.2497,0.005,0.7349615312650044,0.31371346338238915,1.1434528886212192,3.067451882201498,4.801574754667597,1.4702743202647623,4.914041015937398,1.981814989938726,7.978535434165846,0.3197828352002614,9.879270833333331,11.890285474975116,7.26028125,0.6260933393478527,0.00188495565416643,13.078170742182497,6218.6079520082685,0.7292299933806186,-7160.558072927492
UNHC,UNHC_2020-01-29,2020-01-29,2020-01-29,run,4.031286640499999,2078.3018615,0.7879252655,0.067130552,1058.050066,0.615191317,0.5310660991284459,0.3075969106653762,7.073333333333333,11.73,12.097881394519664,66.2207894736842,8450,13.8,58.01544528,0.018,0.33684576,3.872,0.4784,0.005,0.47602412736109656,0.05268536829837906,0.8975840993714392,2.0287784968908733,3.14797509645561,0.9535545198744104,8.12106953189039,4.483469484594165,11.99765977175274,0.31497015032384684,11.347708333333332,12.200741606361518,6.745833333333334,0.5873302317049159,0.00188495565416643,21.5015685720235,5522.1584395031205,0.9029079054574513,-5046.719327163378
UNHC,UNHC_2020-02-12,2020-02-12,2020-02-12,run,1.9207774465,2552.7331425,0.5629512175,0.058365242,874.5999868,0.502928154,3.4956266301969965,0.4824812665734626,12.56,9.81,10.654392284538966,66.6,8450,13.8,58.01544528,0.018,0.19134344,7.506,0.4227,0.005,0.5125595919061254,0.05701955178605371,0.988801832608594,3.3451551812189733,4.830072949381537,1.902194881042796,10.307132314871255,5.802678429530004,14.767906146118817,0.4639078498197052,9.578854166666666,10.619606767542782,12.56625,3.1188586223729895,0.00188495565416643,14.961976867989996,13520.602088618703,0.47156539570608474,-9129.897400713766
UNHC,UNHC_2020-02-27,2020-02-27,2020-02-27,run,2.9454465835,745.7670333000001,0.6175772765,0.060949053,929.9951436,0.536829369,0.3830942074290211,0.28451010596404397,10.651,11.95,11.063393324957046,92.6,8450,13.8,58.01544528,0.018,0.28644484,3.881,0.2735,0.005,2.0483489967927975,1.4147977522831197,2.7029814846299596,2.5130865948857197,3.578950424672762,1.5307524318178505,9.294150868889544,6.304159057812865,12.510299012808034,0.2881479043584998,10.764166666666666,11.106377454465909,10.414520833333333,0.4051163832145462,0.00188495565416643,19.826794436774367,-1267.7903400847051,0.5403871884671678,-2561.5888432902593
UNHC,UNHC_2020-03-11,2020-03-11,2020-03-11,run,5.2923084485,226.4840687,0.5720231955,0.054365635,794.2049896,0.454370944,0.233135247636634,0.252679844165479,15.664,12.092026630078658,9.893575881565136,94.06666666666668,8450,13.8,58.01544528,0.018,0.0921,2.425,0.1681,0.005,2.04901798449251,1.5142259148426205,2.593171186923619,2.1072928661836445,2.894450271909037,1.3409555199294263,5.1144768911461735,3.1634130259524813,7.012367365994125,0.25407257633294833,10.397331268293192,10.323934167400298,13.844479166666666,0.23859081625703116,0.00188495565416643,22.659927442667353,-2469.6854505949286,0.5002893682905254,350.2227478727384
UNHC,UNHC_2020-03-20,2020-03-20,2020-03-20,run,8.9131721245,769.3112255,0.414224693,0.05054137,714.4643639,0.406236105,0.20860715101574367,0.2460580029648323,19.662,11.81,9.152485221483875,111.7,8450,13.8,58.01544528,0.018,0.0554,2.706,0.1458,0.005,2.7492539746204474,2.1223595336579364,3.3557971488566074,2.7224929795144424,3.560937274038706,1.914198974083212,4.488806978586643,3.047410183100185,5.984552214148908,0.24803967331156415,9.582083333333332,9.34126991902931,18.735416666666666,0.21586236405781825,0.00188495565416643,37.12994679284775,231.76473892576632,0.03297644041743659,1137.8182490845911
WB,WB_2019-11-11,2019-11-11,2019-11-11,run,3.854542546,5075.6682385,0.5877825295,0.062225047,955.4825799,0.552298732,0.34806349698471745,0.4874468405962325,8.98667,8.83,11.544282570511644,99.4,5950,10,61.64141061,0.038,0.062500965,4.698,0.1713,0.005,0.7717209343782573,0.35221571629880977,1.1970689438284234,2.614760246809631,4.352320051228277,1.0646704590019744,1.9003030873727853,0.4059193780921277,3.751655388068852,0.4913550678033648,8.962395833333334,11.37406015516013,9.627642395833334,0.3706332762008858,0.00397935127800959,5.08534852098618,5523.048004513035,0.0461194365897337,-3520.8275041010893
WB,WB_2019-11-20,2019-11-20,2019-11-20,run,2.5761597555,2710.6355999999996,0.150087248,0.062673398,963.2354822,0.556890084,0.8607957222309055,0.5476723359427466,8.83033,10.04,11.595577244052013,97.4,5950,10,61.64141061,0.038,0.033381081,4.175,0.1488,0.005,0.7082235678644118,0.28171986612689076,1.1562452336469673,4.365720236458076,6.562380713720596,2.2667176811994825,5.293568956634044,2.6757628495981285,8.001311792194914,0.5481994310242891,9.981510416666666,11.533703353329653,9.025820989583334,0.8677430300493516,0.00397935127800959,9.347236059295046,6495.050353210402,-1.4656617069412603,-6284.832415513769
WB,WB_2019-11-26,2019-11-26,2019-11-26,run,2.6083302794999996,2796.8661895,0.36553936,0.06374105,984.069491,0.569500233,0.9489577871840736,0.5545861807207985,8.978,11.01,11.520133275732093,105.5,5950,10,61.64141061,0.038,0.045004039,5.046,0.1849,0.005,0.313177667248035,0,0.7367066595724828,2.83189088008827,4.328444476274827,1.3243264639268808,6.018478635367881,2.8325127644258847,8.951779001061915,0.5568548490610067,10.716979166666668,11.737583996141238,8.234447916666667,0.9808593653036576,0.00397935127800959,10.80414345199899,7694.214541856225,-0.8393568378020428,-4717.844137497108
WB,WB_2019-12-03,2019-12-03,2019-12-03,run,2.07639716,2328.601595,0.453179213,0.064073393,997.2470881,0.57817217,0.8663396591256514,0.5481248782484426,7.98017128463476,11.07251256281407,11.716408368228011,92.36216216216216,5950,10,61.64141061,0.038,0.813494029,6.471,1.076,0.00199,0.9092395237470478,0.4423531147001969,1.361163723122088,3.9060292087635777,5.454589873607272,2.3248674126303523,7.429862399130865,4.5023801900181,10.292803692113864,0.5526063471983028,10.93100083752094,11.756343644399124,7.883793319689336,0.9280291953954962,0.00397935127800959,10.250836708173058,6773.275936670036,-0.6153211668822806,-4580.516261606276
WB,WB_2019-12-12,2019-12-12,2019-12-12,run,2.0927750725,2268.0724765,0.7084856365000001,0.066522216,1039.090977,0.602922778,0.8758520971595328,0.5488955163216217,7.74,11.876666666666669,12.11276224613295,98.8157894736842,5950,10,61.64141061,0.038,0.1246,4.217,0.2713,0.005,1.0189582851295946,0.5318815117343574,1.500997270409088,4.151248767791765,5.7989242418063105,2.3963970553296736,7.40367486732492,4.473593938319379,10.224023048210602,0.5520664250216073,11.279270833333332,12.389364445110733,6.810208333333334,0.916348401953306,0.00397935127800959,10.214517055963425,6186.104362113829,0.5138951978268239,-6098.396445156793
WB,WB_2020-01-05,2020-01-05,2020-01-05,run,2.4295357225,2009.389185,0.444889931,0.063217622,975.1095085,0.564202468,1.3656532569476143,0.5811777629702987,9.24,11.38,11.50111998174527,62.9,5950,10,61.64141061,0.038,0.3117,8.852,0.5999,0.005,0.7417927804546257,0.26804210833238545,1.1706300825232083,2.442186607730868,3.4416631078828868,1.3165889409079512,7.137078714542621,4.290813773384906,10.185242898740968,0.5994657747628407,10.969583333333333,11.47746868734891,9.257083333333334,1.9207239167949264,0.00397935127800959,12.003702258435688,5245.988654854926,-0.587053728624896,-2804.700168847461
WB,WB_2020-01-29,2020-01-29,2020-01-29,run,2.4173348395,2299.970477,0.8561083300000001,0.067303399,1061.726068,0.617457345,0.5258953832174875,0.514029413778929,6.56,12.355,12.247042712906238,68.5,5950,10,61.64141061,0.038,0.3164,3.741,0.4241,0.005,0.5015884760715854,0.07879549002356961,0.9047449773390408,0.2992858407132039,1.0138060415138133,0,3.8412950004047417,1.512502192729507,6.365086654003509,0.5191151461857428,12.03140625,12.239881378675456,6.612291666666667,0.5686193417834786,0.00397935127800959,5.939942185554049,3121.715643537856,0.5803842707760767,-575.2591337835782
WB,WB_2020-02-12,2020-02-12,2020-02-12,run,1.45141473,2253.471662,0.5063914359999999,0.058287221,872.6395158,0.501706871,3.166257213837415,0.6475830960633676,12.36,10.31,10.703377760331223,58.9,5950,10,61.64141061,0.038,0.1806,6.89,0.3998,0.005,0.4561750836108824,0.00498252186408192,0.9208311200476366,1.3139456187004208,2.17901299044993,0.434969145547549,5.913488133476003,2.9577848717531503,8.9205792270847,0.6327068263307639,10.291979166666668,10.638483036804145,12.496145833333332,2.766485693202324,0.00397935127800959,6.386351683824268,6347.198158431076,0.02099225402817985,-1733.7997249633952
WB,WB_2020-02-27,2020-02-27,2020-02-27,run,1.863844949,1167.434909,0.568263345,0.060620967,923.3194579,0.532768842,0.3998638672720451,0.49622581915457914,10.366666666666667,11.93,11.134331554456622,73.45555555555555,5950,10,61.64141061,0.038,0.1271,3.914,0.2473,0.005,1.2411844061105608,0.7417043157371724,1.7386042449706487,0.9633920548663896,1.753490593471476,0.16940950759043782,4.399654964296129,2.3204649428531017,6.526591518578475,0.4977715545368632,11.18203125,11.071284010356832,10.547916666666667,0.4107617960453586,0.00397935127800959,5.820894380196617,788.736091051378,0.1114745229760653,389.2492867712038
