site,date,cl_mgl,so4_mgl,br_mgl,no3n_mgl,na_mgl,k_mgl,mg_mgl,ca_mgl,doc_mgl,tdn_mgl,nh4n_mgl,po4p_mgl,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600_2.5,K600_97.5,depth,spc_uScm,DO.obs,DO.sat,watertemp_C,discharge,airpres_kPa,airtemp_C,latitude,longitude,CRS,distance_upstream_m,width_march_m,ws_area_km2,slope_wbx,habitat,slope_mm
WB,2019-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32291854366170675,0,0.7583651346001479,1.4307019010442632,3.4487361857340817,0,2.6681485077963485,0.5557277557944178,5.3408141396068585,0.524087627783442,99.04166666666667,10.528958333333334,12.157149069723987,7.2981421875,0.6120931584149538,102.19977304259822,-0.5208333333333333,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,0.00397935127800959
WBP,2019-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46079687878808995,0,1.396993339968458,2.331266958133601,4.9341892096394915,0,2.181333321954711,0.5489920719386604,3.849885446569072,0.5213342977639788,91.23854166666666,9.3185416666666665,12.141807192726075,7.34654125,0.6084116663540114,102.19977304259822,-0.5208333333333333,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,0.00219911495598649
UNHC,2019-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01820489581275163,0,0.3827247049217156,5.045976080705493,7.667132488810783,2.3801538224341012,7.05295431800554,3.3651918209037737,10.826994606409457,0.3114933498458705,NA,9.176354166666666,12.569061291651707,5.96875,0.5605522708410567,102.19977304259822,-0.5208333333333333,35.9925,-79.046,WGS84,8450,13.8,58.01544528,0.018,run,0.00188495565416643
NHC,2019-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.2828529366385472,0.9770639356258766,1.7599836552045793,0.22968170499803894,6.909971913682709,3.3454226183195805,10.666968742406038,0.38663884633331413,133.64583333333334,12.142395833333333,12.883501421958638,4.964166666666666,0.6598499793873566,102.11670012593156,2.220833333333333,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,0.00230383472585434
PM,2019-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.37688783588246294,1.4378838396963958,2.5617643891692836,0.332298461719913,7.980885494402086,4.6171584358748845,11.629319213226562,0.3664382159782943,89.16041666666666,11.885729166666668,12.80980812486279,5.189305208333334,0.6059613797050837,102.11670012593156,2.220833333333333,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.042,pool,0.00439823050281498
CBP,2019-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16522881488698052,0,0.5408653852678811,1.5512206823935584,2.2442142441427135,0.8473895391400841,9.005259844543595,6.264483589343913,11.557231670078073,0.33445415830459624,83.75729166666666,12.127916666666666,12.877802190171074,4.982392395833333,0.5947345881280898,102.11670012593156,2.220833333333333,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,0.00387463147802864
WB,2019-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09423704886842599,0,0.5173823244629838,1.8482763309550685,3.5994797596127537,0.18971863770779512,3.949163198211398,1.0157790790937187,6.956925935018295,0.5199615920562908,102.82083333333334,11.1275,12.641207818626114,5.7055066666666665,0.5756490424081879,102.11670012593156,2.220833333333333,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,0.00397935127800959
WBP,2019-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15358337945703454,0,1.1366072946350687,1.594427970468486,3.852799038855306,0,2.1231690091995494,0.3699897777558288,3.856864226323913,0.5173552811502736,94.42395833333333,9.753020833333334,12.631531119419865,5.732846979166666,0.5745263632201455,102.11670012593156,2.220833333333333,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,0.00219911495598649
UNHC,2019-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03640979162550326,0,0.47873238136169843,2.5695845350953657,4.466453336864228,0.8863292154806924,4.717469834539564,1.7066045391907028,8.229986921522995,0.31143056821567827,NA,10.243333333333334,13.049783369531964,4.47625,0.5599315341657188,102.11670012593156,2.220833333333333,35.9925,-79.046,WGS84,8450,13.8,58.01544528,0.018,run,0.00188495565416643
NHC,2019-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16183858746724528,0,0.45407419444252406,1.298843836941187,2.0553521778908554,0.5375697731657811,7.494011696243734,3.6055152176492546,11.646011813009062,0.4165628608021995,126.92708333333333,12.378020833333334,12.48199454930958,5.96625,1.2005094536562853,101.50904387593155,6.090104166666666,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,0.00230383472585434
PM,2019-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05964322821949632,0,0.5062974390964524,1.5547942464232003,2.6501242070892648,0.5038747943081631,8.606603442710473,5.155937244459201,12.2466478896751,0.39102324318682324,91.59895833333333,11.9496875,12.432617279053733,6.126718958333333,0.8819092423044917,101.50904387593155,6.090104166666666,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.042,pool,0.00439823050281498
CBP,2019-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23708048424379335,0,0.6219787322836164,1.9284522298066213,2.6936881793469967,1.155045033121426,9.330193704552087,6.614021529048426,11.95844420632975,0.3598772159461564,89.00416666666666,11.826979166666666,12.315824650511013,6.499274479166667,0.8272050449503813,101.50904387593155,6.090104166666666,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,0.00387463147802864
WB,2019-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3006252875275935,0,0.7286588322044392,2.3134092703467193,3.934567805548417,0.8074577553470799,4.003607803995855,1.2826500373795873,6.877487399679577,0.533930284228608,90.128125,11.6540625,12.497427696709762,5.9159721875,0.7289771654341423,101.50904387593155,6.090104166666666,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,0.00397935127800959
WBP,2019-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1558137475022393,0,1.1054010327697799,2.0185010932369076,4.1483098231925934,0,2.2873312420498313,0.5974249044867102,3.9943894813365395,0.5312496190578986,81.80833333333334,10.856875,12.527810420002684,5.8202778125,0.7233714676564421,101.50904387593155,6.090104166666666,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,0.00219911495598649
UNHC,2019-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218243368674069,0,0.6405078397166812,3.2616719943590704,5.34671690128399,1.2677615069473165,4.9604734648336,1.770847306106162,8.431935282444824,0.318299029821301,NA,10.085625,12.229850825182124,6.781666666666666,0.6513992513132623,101.50904387593155,6.090104166666666,35.9925,-79.046,WGS84,8450,13.8,58.01544528,0.018,run,0.00188495565416643
NHC,2019-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32367717493449055,0.027559787221334054,0.625295452246501,1.6206237382564974,2.350720700577132,0.8454578413335233,8.07805147880476,3.865607816978929,12.625054883612087,0.40094385476784405,134.29166666666666,11.806041666666667,12.118499817075131,7.058958333333333,0.8786709109759359,101.29847095926489,7.540625,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,0.00230383472585434
PM,2019-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11928645643899265,0,0.6357070423104418,1.671704653150005,2.7384840250092455,0.6754511268964132,9.232321391018857,5.694716053043518,12.863976566123638,0.3805325825937809,98.9125,11.459583333333333,12.011313300568204,7.417850208333333,0.750920832573291,101.29847095926489,7.540625,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.042,pool,0.00439823050281498
CBP,2019-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3089321536006062,0,0.7030920792993518,2.3056837772196843,3.14316211455128,1.462700527102768,9.65512756456058,6.96355946875294,12.359656742581427,0.34990093300515646,86.65677083333334,11.323020833333333,11.980335285775647,7.521705416666666,0.72439626972203,101.29847095926489,7.540625,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,0.00387463147802864
