logQ,watertemp_C,GPP,ER,slope_deg,DO.obs,log_no3n,doc_mgl,depth,rsq,adjr2,cp,bic,aicc,rsq_pred,model,delta_aicc,delta_rsqp,rel_likelihood,aic_weight,gas,flux
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,TRUE,0.7936706929141509,0.7730377622055661,9.00928334899507,-64.23167113000956,85.86163146968622,0.7091046744935012,3,1.065812098100679,-0.0018680498996102024,0.5868969377794797,0.20156361596879974,CH4,FALSE
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,TRUE,0.7890151549646353,0.7679166704610988,10.205365155275729,-62.982152319090005,87.11115028060576,0.7070334810208307,5,2.3153309090202185,-0.0039392433722806874,0.314218883563422,0.10791518970323896,CH4,FALSE
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,0.7772553820924725,0.7597852159820782,11.226637998696496,-63.970086543772155,87.52952012761111,0.7021137360842589,4,2.73370075602557,-0.008858988308852567,0.25490856212959667,0.08754568002798908,CH4,FALSE
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,0.6464845257427048,0.6111329783169752,5.199247214618197,-34.07825898589736,116.01504361379838,0.5356462188970905,6,0,0,1,0.2910490437851343,CH4,TRUE
FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,NA,0.6074922960004937,0.5848476207697529,6.625850829542259,-36.26974361703195,116.74092903080076,0.5247247340094731,2,0.7258854170023739,-0.01092148488761746,0.6956262858300133,0.20246136532262987,CH4,TRUE
FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,NA,0.5882935917071164,0.5727575008281396,7.297761587380123,-37.6208528813219,116.9994851827362,0.5341850029962392,1,0.984441568937811,-0.0014612159008513537,0.6112673925863273,0.17790879010928284,CH4,TRUE
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,0.6221799148462093,0.59254696699101,6.581754196707145,-34.380122611131206,117.11948406025209,0.5184645630830942,5,1.104440446453708,-0.017181655813996333,0.5756702739645972,0.1675482827729223,CH4,TRUE
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,NA,0.6042697896028899,0.5814392005415181,7.074331590503249,-35.811858097019716,117.19881455081301,0.5326204643678117,3,1.1837709370146285,-0.003025754529278779,0.5532831027918177,0.16103251801003068,CH4,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,FALSE,0.6972939858503908,0.66702338443543,7.939002018320608,-42.76750876448011,107.3257938352157,0.6361921565515456,1,0,0,1,0.7371888511213531,O2,FALSE
FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,FALSE,0.6642620478222303,0.6379296594161308,11.606698779263496,-40.99300388830024,110.50660278308301,0.616834788929872,2,3.1808089478673054,-0.019357367621673616,0.20384314581864368,0.15027089447500838,O2,FALSE
FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,FALSE,0.6680508815067624,0.6348559696574387,12.956601882639788,-37.60321029982056,112.49009229987516,0.6133494586530754,3,5.164298464659453,-0.022842697898470155,0.07561132296596156,0.05573982430904278,O2,FALSE
FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,0.664304902510543,0.6307353927615973,13.599345672160496,-36.97480067662776,113.11850192306792,0.6045951730370637,4,5.792708087852219,-0.031596983514481924,0.0552241984563522,0.04071066341413588,O2,FALSE
TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,0.6363740190142904,0.6078543342310975,16.39179163119038,-36.52449155134681,114.9751151200365,0.5797375698134426,5,7.6493212848208,-0.056454586738102996,0.021825841039220053,0.01608976668045991,O2,FALSE
TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,0.9570056517939748,0.9536335460523258,3.3446087838957297,-156.0876916501207,-4.588084978737408,0.9462327796893742,3,0,-5.489984561048988e-4,1,0.3329904797833392,O2,TRUE
TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,0.9549810172228588,0.9523837682164852,3.6682816620921557,-157.5361714025264,-4.5254987546937055,0.9466531120206493,1,0.06258622404370229,-1.2866612482986817e-4,0.9691914497726785,0.3227315258617143,O2,TRUE
FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,0.95355688373698555,0.9508774731833501,5.302759509731864,-155.792106436038,-2.7814337882052182,0.9467817781454791,4,1.8066511905321896,0,0.40521981936027324,0.1349343420664954,O2,TRUE
FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,0.9511191539508398,0.9492745937225696,6.1005417215193845,-156.95264563974536,-2.3323075756872917,0.9459447766152684,2,2.255777403050116,-8.370015302107126e-4,0.32371599652434685,0.10779434499618401,O2,TRUE
TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,NA,0.9571925070340576,0.9529117577374633,5.130155045071291,-152.30624871108145,-2.212946111385662,0.9433514566386265,9,2.3751388673517457,-0.0034303215068526294,0.30496159337149914,0.10154930729226709,O2,TRUE
