site,DateTime_UTC,date,time,watertemp_C,DO_mgL,spc_uscm,pH,NTU,waterdepth_cm,notes,air_temp,airpres_mmHg,DO_pctsat,depthtosensor_cm,sensoroffset_cm
WB,2019-07-02T17:00:00Z,7/2/2019,12:00:00,25,7.25,117,7.22,NA,63,DO logger bad battery. Level logger broken,NA,750.8,87.8,NA,NA
WBP,2019-07-02T18:00:00Z,7/2/2019,13:00:00,24.5,5.6,117.2,7.02,NA,88.5,"DO is somewhat stratified, top 20cm are warmer and more DO",NA,750.5,67.2,NA,NA
PWC,2019-07-02T18:30:00Z,7/2/2019,13:30:00,25.1,5.61,121.7,7.06,NA,83,NA,NA,750.3,67.6,NA,NA
MC751,2019-07-02T20:00:00Z,7/2/2019,15:00:00,23.9,3.33,210.3,6.99,NA,40.5,NA,NA,750.9,39.4,NA,NA
WB,2019-07-03T15:15:00Z,7/3/2019,10:15:00,24.4,6.59,123.5,7.93,NA,NA,NA,NA,750.4,78.9,NA,NA
UNHC,2019-07-06T14:15:00Z,7/6/2019,9:20:00,25.1,3.98,NA,6.9,NA,47,NA,25.725,763.9006439,0.48001312,NA,NA
NHC,2019-07-17T16:15:00Z,7/17/2019,11:15:00,26,6.13,NA,7.92,0.35,82,NA,34.025,763.188085,0.752300689,NA,NA
PM,2019-07-19T14:45:00Z,7/19/2019,9:38:00,27.3,5.01,NA,6.74,5.6,NA,NA,NA,754.5,63.4,NA,NA
CBP,2019-07-19T15:15:00Z,7/19/2019,10:20:00,26.2,5.36,151.6,6.95,3.91,NA,NA,NA,753.3,66.3,NA,NA
WB,2019-07-19T15:45:00Z,7/19/2019,10:45:00,26.1,5.98,146.5,7.18,2.59,NA,NA,NA,752.4,74,NA,NA
WBP,2019-07-19T17:00:00Z,7/19/2019,11:56:00,26.8,5.08,147.2,7.27,4.33,NA,NA,NA,752,64.3,NA,NA
PWC,2019-07-19T17:15:00Z,7/19/2019,12:15:00,26.7,5.04,149.1,7.36,5.38,NA,NA,NA,752,63,NA,NA
NHC,2019-07-30T15:30:00Z,7/30/2019,10:30:00,23.2,6.67,NA,6.89,1.74,74,NA,29.45,763.938147,0.776410096,NA,NA
UNHC,2019-07-31T15:45:00Z,7/31/2019,10:40:00,22.6,4.79,NA,7.07,8.79,43,NA,30.675,764.2381718,0.551033037,NA,NA
PM,2019-08-02T15:00:00Z,8/2/2019,10:05:00,24.4,6.02,120.3,7.79,NA,NA,NA,NA,757.3,71.9,NA,NA
CBP,2019-08-02T16:15:00Z,8/2/2019,11:17:00,23.7,7.01,118.7,7.52,NA,NA,NA,NA,756,82.9,NA,NA
WB,2019-08-05T15:45:00Z,8/5/2019,10:48:00,23.7,6.62,125.1,8.01,NA,NA,NA,NA,751.6,78.2,NA,NA
WBP,2019-08-05T16:00:00Z,8/5/2019,11:03:00,24.1,5.63,125.3,7.75,NA,NA,NA,NA,751.4,66.9,NA,NA
PWC,2019-08-05T16:30:00Z,8/5/2019,11:34:00,24.3,5.47,132,7.71,NA,NA,NA,NA,751.1,65.4,NA,NA
UNHC,2019-08-20T14:45:00Z,8/20/2019,9:40:00,23.7,4.51,NA,7.58,3.6,47,NA,29.3,764.9882338,0.529196856,NA,NA
NHC,2019-08-20T14:00:00Z,8/20/2019,10:15:00,24.6,6.09,NA,7.52,0.91,79,NA,30.15,765.0257369,0.726642954,NA,NA
PM,2019-08-21T19:00:00Z,8/21/2019,14:00:00,27,6.98,127.8,7.37,NA,NA,lots of biofouling on sensor housing,NA,754.2,87.6,NA,NA
CBP,2019-08-21T19:45:00Z,8/21/2019,14:42:00,26.2,8.41,122.6,7.77,NA,NA,NA,NA,752.7,104,NA,NA
WB,2019-08-21T20:15:00Z,8/21/2019,15:08:00,26.3,7.49,120.7,7.71,NA,NA,NA,NA,751.4,92.7,NA,NA
WBP,2019-08-21T20:30:00Z,8/21/2019,15:25:00,25.9,5.41,1233,7.42,NA,NA,NA,NA,751,66.4,NA,NA
PWC,2019-08-21T20:45:00Z,8/21/2019,15:50:00,25.9,6.41,128.9,7.64,NA,NA,lots of algae on sensor housing,NA,751,78.8,NA,NA
MC751,2019-08-21T21:30:00Z,8/21/2019,16:23:00,25,4.16,124.8,7.37,NA,NA,moved pressure sensor from external pvc to internal chain,NA,751.8,50.3,NA,NA
UNHC,2019-08-28T16:30:00Z,8/28/2019,11:27:00,22.3,2.41,NA,NA,3.48,NA,NA,26.7,759.3627688,0.277474775,NA,NA
NHC,2019-08-28T17:15:00Z,8/28/2019,12:20:00,22.6,0.36,NA,NA,2.13,NA,NA,27.1,759.2315079,0.041694457,NA,NA
NHC,2019-09-05T14:15:00Z,9/5/2019,9:10:00,23.6,6,NA,7.52,0.55,NA,NA,24.55,759.0439925,0.708376861,NA,NA
UNHC,2019-09-05T15:00:00Z,9/5/2019,9:57:00,22.9,4.19,NA,6.83,5.46,48,NA,25,758.9877378,0.488218496,NA,NA
PM,2019-09-10T00:00:00Z,9/9/2019,19:00:00,25.4,7.56,117.5,6.97,NA,83.5,NA,NA,NA,92,NA,NA
MC751,2019-09-10T00:30:00Z,9/9/2019,19:30:00,22.8,0.77,176.4,6.68,NA,42,"DO logger bad header, brought to lab",NA,NA,8.9,NA,NA
WB,2019-09-10T22:00:00Z,9/10/2019,17:00:00,24.7,7.19,120.4,7.16,NA,57,NA,NA,NA,86.4,NA,NA
CBP,2019-09-10T22:30:00Z,9/10/2019,17:30:00,24.7,8.62,117.5,7.5,NA,34,DO cap expired,NA,NA,103.7,NA,NA
WBP,2019-09-10T22:30:00Z,9/10/2019,17:30:00,24.2,4.92,121.2,6.91,NA,83,NA,NA,NA,58.2,NA,NA
CBP,2019-10-05T18:15:00Z,10/5/2019,13:15:00,21.4,NA,NA,NA,NA,26.5,DO cap expired,NA,NA,NA,NA,NA
PM,2019-10-05T19:30:00Z,10/5/2019,14:35:00,NA,NA,NA,NA,NA,77,DO cap expired,NA,NA,56.5,NA,NA
WB,2019-10-05T21:45:00Z,10/5/2019,16:46:00,20.2,4.34,NA,NA,NA,52,NA,NA,NA,48,NA,NA
WBP,2019-10-05T22:30:00Z,10/5/2019,17:28:00,21.9,2.75,NA,NA,NA,77,NA,NA,NA,31.4,NA,NA
PM,2019-10-06T17:15:00Z,10/6/2019,12:20:00,22.1,NA,NA,NA,NA,NA,installed DO sensor,NA,NA,52.2,NA,NA
CBP,2019-10-06T20:15:00Z,10/6/2019,15:15:00,20.9,5.52,NA,NA,NA,NA,installed DO sensor,NA,NA,61.8,NA,NA
MC751,2019-10-07T16:00:00Z,10/7/2019,11:03:00,18.9,0.41,267.3,NA,NA,NA,NA,NA,NA,4.5,NA,NA
UNHC,2019-10-15T16:30:00Z,10/15/2019,11:30:00,15.2,4.32,NA,NA,2.98,44,NA,22.75,765.1757493,0.427301153,NA,NA
NHC,2019-10-15T17:15:00Z,10/15/2019,12:10:00,16.3,3.28,NA,NA,0.98,67,NA,23.575,764.6694574,0.332349258,NA,NA
UNHC,2019-11-04T17:15:00Z,11/4/2019,12:15:00,9,7.31,NA,NA,1.53,53,NA,16,769.938643,0.62413005,NA,NA
NHC,2019-11-04T19:00:00Z,11/4/2019,14:00:00,10.4,9.23,NA,NA,0.26,91,NA,16.7,768.81355,0.815842776,NA,NA
WB,2019-11-11T17:45:00Z,11/11/2019,12:43:00,9.6,8.47,112.2,NA,NA,NA,gas,NA,753.4,831,NA,NA
WBP,2019-11-11T18:00:00Z,11/11/2019,13:05:00,9.1,7.53,113.1,NA,NA,NA,gas,NA,752.9,65.3,NA,NA
CBP,2019-11-11T18:30:00Z,11/11/2019,13:26:00,7.8,10.83,125.8,NA,NA,NA,gas,NA,753.9,91,NA,NA
UNHC,2019-11-11T19:00:00Z,11/11/2019,14:01:00,8.1,8.56,144.9,NA,NA,NA,gas,NA,751.6,72.6,NA,NA
NHC,2019-11-11T19:45:00Z,11/11/2019,14:40:00,8.9,10.12,111,NA,NA,NA,gas,NA,755,111,NA,NA
MC751,2019-11-11T20:15:00Z,11/11/2019,15:10:00,9,4.83,154.8,NA,NA,NA,gas,NA,753,41.8,NA,NA
PM,2019-11-20T16:45:00Z,11/20/2019,11:40:00,9.5,9.59,120,7.24,NA,116,gas,NA,756.9,84.4,63,53
WB,2019-11-20T17:30:00Z,11/20/2019,12:37:00,9.5,10.04,119.1,7.2,NA,66,gas,NA,756.9,89.4,41,25
WBP,2019-11-20T18:00:00Z,11/20/2019,12:55:00,9.3,8.63,121.6,7.11,NA,91,gas,NA,754,76.2,71,20
UNHC,2019-11-20T18:30:00Z,11/20/2019,13:30:00,9.2,8.12,NA,6.89,4.14,66,NA,15.3,764.5006935,0.70162889,NA,NA
CBP,2019-11-20T18:30:00Z,11/20/2019,13:27:00,9.3,10.29,112.4,7.18,NA,59,gas,NA,755.2,90,19,40
MC751,2019-11-20T19:00:00Z,11/20/2019,14:05:00,9.9,6.23,127.6,7.01,NA,44,gas,NA,754.8,55.5,14,30
NHC,2019-11-20T19:15:00Z,11/20/2019,14:20:00,9.5,10.3,NA,7.07,1.16,103,NA,15.6,764.4444389,0.896453572,NA,NA
PM,2019-11-26T18:30:00Z,11/26/2019,13:29:00,8.2,10.79,128.6,7.19,NA,NA,NA,NA,NA,92.7,NA,NA
CBP,2019-11-26T19:15:00Z,11/26/2019,14:19:00,7.9,12.08,132.8,7.19,NA,NA,NA,NA,NA,103.1,NA,NA
WB,2019-11-26T19:45:00Z,11/26/2019,14:42:00,9,9.51,128.6,7.29,NA,NA,NA,NA,NA,83.2,NA,NA
WBP,2019-11-26T20:00:00Z,11/26/2019,14:54:00,8.1,10.18,129.2,7.13,NA,NA,NA,NA,NA,87.7,NA,NA
MC751,2019-11-26T20:30:00Z,11/26/2019,15:24:00,9.1,8.53,135.8,7.01,NA,NA,NA,NA,NA,75.8,NA,NA
CBP,2019-12-03T16:15:00Z,12/3/2019,11:09:00,7.1,11.64,107.1,7.02,NA,NA,installed new sensor for DO,NA,743.5,97.8,NA,NA
WB,2019-12-03T17:30:00Z,12/3/2019,12:25:00,NA,NA,114.3,7.18,NA,NA,Brought DO sensor back to lab and bubbled with air for 2 hrs. reinstalled at 16:00,NA,746.3,88.6,NA,NA
WBP,2019-12-03T17:45:00Z,12/3/2019,12:44:00,NA,NA,115.1,7.1,NA,NA,NA,NA,746,91,NA,NA
PM,2019-12-03T18:30:00Z,12/3/2019,13:33:00,7.7,10.13,104.4,7.35,NA,NA,NA,NA,748.4,86.6,NA,NA
MC751,2019-12-03T19:15:00Z,12/3/2019,14:12:00,7.6,8.7,123.1,7.05,NA,NA,NA,NA,746.5,74,NA,NA
UNHC,2019-12-04T18:15:00Z,12/4/2019,13:10:00,7.3,10.92,NA,7.41,6.28,61,NA,12.925,753.5122852,0.914220478,NA,NA
PM,2019-12-12T17:30:00Z,12/12/2019,12:28:00,6.4,11.87,118,7.15,NA,100,NA,NA,770.4,95.7,NA,NA
CBP,2019-12-12T18:30:00Z,12/12/2019,13:33:00,5.6,12.95,127.7,7.29,NA,58,NA,NA,768.1,102.3,NA,NA
WB,2019-12-12T19:00:00Z,12/12/2019,14:01:00,7.7,11.48,124.4,7.46,NA,66,Bad header on DO probe. Fish trapped in sensor housing,NA,766.7,95.3,NA,NA
WBP,2019-12-12T19:15:00Z,12/12/2019,14:21:00,6.7,9.33,126,7.24,NA,91,NA,NA,766.3,75.1,NA,NA
MC751,2019-12-12T19:45:00Z,12/12/2019,14:50:00,6,10.2,110.7,7.08,NA,NA,NA,NA,767.1,81.3,NA,NA
CBP,2020-01-05T18:15:00Z,1/5/2020,13:15:00,9,11.44,67.6,7.1,NA,115,NA,NA,757,98.9,NA,NA
WB,2020-01-05T18:45:00Z,1/5/2020,13:45:00,9.1,11.42,67,7.21,NA,92.5,NA,NA,755.7,99.1,NA,NA
WBP,2020-01-05T19:00:00Z,1/5/2020,14:00:00,9.1,11.34,67.4,7.19,NA,106,NA,NA,755.2,98.3,NA,NA
PM,2020-01-05T19:45:00Z,1/5/2020,14:40:00,9.1,11.64,67,7.33,NA,NA,NA,NA,757.9,100.9,NA,NA
MC751,2020-01-05T20:15:00Z,1/5/2020,15:10:00,9,10.64,84,7.05,NA,NA,Installed a new DO logger,NA,756.2,92.1,NA,NA
MC751,2020-01-30T15:15:00Z,1/30/2020,10:15:00,6,10.2,156.2,6.86,NA,NA,NA,NA,758.5,81.8,NA,NA
MC751,2020-02-12T13:15:00Z,2/12/2020,8:15:00,12,9.25,90.2,6.64,NA,93,NA,NA,756.6,86.7,NA,NA
PM,2020-02-12T14:00:00Z,2/12/2020,9:00:00,12.4,9.51,63.6,7.05,NA,106,NA,NA,758.3,89.5,NA,NA
NHC,2020-02-12T14:30:00Z,2/12/2020,9:30:00,12.2,10.64,NA,7.41,NA,NA,NA,NA,759.4,99.2,NA,NA
WB,2020-02-12T14:45:00Z,2/12/2020,9:45:00,12.4,10.53,60.3,6.83,NA,97,DO logger corrupt header. Pvc housing was hanging behind the cement pillar,NA,756.2,99.5,NA,NA
WBP,2020-02-12T15:15:00Z,2/12/2020,10:15:00,12.4,10.33,60.4,6.79,NA,120,fence post knocked @ angle stood it back up,NA,755.7,964,102,18
UNHC,2020-02-12T15:45:00Z,2/12/2020,10:40:00,12.3,10.47,66.6,7.21,NA,NA,NA,NA,755.4,97.8,NA,NA
CBP,2020-02-12T17:00:00Z,2/12/2020,12:00:00,12.4,9.81,61.4,6.89,NA,124,NA,NA,756.8,92.4,NA,NA
NHC,2020-02-27T15:30:00Z,2/27/2020,10:30:00,9.6,11.73,88.9,7.73,NA,NA,NA,NA,754.8,103.1,NA,NA
PM,2020-02-27T16:15:00Z,2/27/2020,11:15:00,10.1,10.34,82.9,7,NA,92,NA,NA,754,92.7,NA,55
UNHC,2020-02-27T17:00:00Z,2/27/2020,12:00:00,10.3,12.23,92.6,7.79,NA,NA,NA,NA,751.1,109,NA,NA
CBP,2020-02-27T17:15:00Z,2/27/2020,12:15:00,10.3,9.98,82.8,7.2,NA,106,NA,NA,752.2,90,NA,89
WB,2020-02-27T18:00:00Z,2/27/2020,13:00:00,10.5,11.72,82.3,7.31,NA,NA,NA,NA,750.6,106.4,NA,NA
WBP,2020-02-27T18:30:00Z,2/27/2020,13:30:00,10.3,10.63,82.7,7.32,NA,105,NA,NA,750.5,96.2,NA,86
MC751,2020-02-27T19:30:00Z,2/27/2020,14:30:00,9.7,10.58,141.8,7.15,NA,70,NA,NA,751.7,94.2,NA,37
NHC,2020-03-10T18:00:00Z,3/10/2020,13:00:00,13.3,10.45,98.7,7.18,NA,NA,NA,NA,755.9,100.2,NA,NA
UNHC,2020-03-10T19:15:00Z,3/10/2020,14:15:00,15.1,10.85,104.3,7.82,NA,NA,NA,NA,751,109.2,NA,NA
CBP,2020-03-10T19:45:00Z,3/10/2020,14:45:00,14.3,10.28,103.7,7.66,NA,57,Sensor out of water moved lower but didn't measure how much lower.,NA,752.3,101.3,NA,89
WB,2020-03-10T20:30:00Z,3/10/2020,15:30:00,14.3,NA,103.1,7.48,NA,69,lots of filamentous biofilm,NA,751,89,NA,34
WBP,2020-03-10T20:45:00Z,3/10/2020,15:45:00,14.5,10.23,104.7,7.46,NA,100,"lots of filamentous biofilm, debris jam around fencepost",NA,751,101.7,NA,78
PM,2020-03-10T21:30:00Z,3/10/2020,16:30:00,14.8,9.95,105.2,7.89,NA,96,sensor cap expired,NA,753.1,99.2,NA,63
MC751,2020-03-10T22:30:00Z,3/10/2020,17:30:00,15,9.03,192.6,7.26,NA,NA,huge Fe(II) bacteria clouds,NA,751.2,90.3,NA,NA
NHC,2020-03-20T17:15:00Z,3/20/2020,12:10:00,17.5,9.24,108,6.8,NA,NA,NA,NA,759.1,95.8,NA,NA
UNHC,2020-03-20T18:00:00Z,3/20/2020,13:00:00,18.7,9.48,111.7,7.41,NA,NA,NA,NA,754.8,102.7,NA,NA
CBP,2020-03-20T18:30:00Z,3/20/2020,13:25:00,18.6,8.62,110.2,7.21,NA,NA,uninstalled site,NA,756.1,96.4,NA,NA
WB,2020-03-20T19:00:00Z,3/20/2020,14:00:00,18.8,8.69,108.5,7.22,NA,70,uninstalled site,NA,754.8,95.2,NA,NA
WBP,2020-03-20T19:15:00Z,3/20/2020,14:15:00,17.9,8.08,109.4,7,NA,102,uninstalled site,NA,754.2,88.8,NA,85
MC751,2020-03-20T19:45:00Z,3/20/2020,14:45:00,18.8,7.35,331.3,7.05,NA,69,NA,NA,754.5,80,NA,NA
MC751,2020-04-04T14:45:00Z,4/4/2020,9:47:00,11.9,7,188.7,7.33,NA,66,broke pressure transducer,NA,752.8,67.2,NA,NA
MC751,2020-04-18T20:00:00Z,4/18/2020,15:00:00,16.2,5.19,101.6,6.81,NA,68,NA,NA,749.6,53.6,NA,NA
MC751,2020-05-06T20:30:00Z,5/6/2020,15:30:00,17,6.28,147.6,6.91,NA,65,NA,NA,746,66.3,NA,29
MC751,2020-05-22T22:30:00Z,5/22/2020,17:30:00,18.5,7.86,74.9,6.66,NA,95,NA,NA,752.9,85,NA,30
MC751,2020-06-05T20:00:00Z,6/5/2020,15:00:00,22.5,3.84,167,6.43,NA,70,NA,NA,750,45.1,NA,34
MC751,2020-06-19T17:00:00Z,6/19/2020,11:55:00,19.9,5.64,135.5,6.95,NA,66,Launched and installed new DO hobo and sensor cap. Sensor gain @ calib = 1.087,NA,755,63,NA,NA
MC751,2020-07-03T16:15:00Z,7/3/2020,11:10:00,22.9,1.81,219.3,6.99,NA,63,NA,NA,751.4,21.9,NA,NA
MC751,2020-07-17T16:00:00Z,7/17/2020,11:03:00,24,0.54,155.3,7.1,NA,80,NA,NA,757.1,6.4,NA,NA
MC751,2020-07-30T18:00:00Z,7/30/2020,13:00:00,24.9,3.47,84.2,7.28,NA,63,"H2O color of red and really turbid, H2O flowing slowly backward",NA,750.7,42.6,NA,NA
MC751,2020-08-20T20:45:00Z,8/20/2020,15:45:00,23.6,5.38,97.6,7.23,NA,60,"Pressure transducer wouldn't re launch, deployed new on on 8/22/2020",NA,751.5,64.2,NA,NA
MC751,2020-09-05T21:15:00Z,9/5/2020,16:22:00,23.5,3.92,123.4,6.78,NA,NA,NA,NA,757.3,46.3,NA,NA
MC751,2020-09-27T15:45:00Z,9/27/2020,10:45:00,17.8,7.8,110.4,6.88,NA,68,NA,NA,752.8,81,NA,NA
MC751,2020-10-09T15:00:00Z,10/9/2020,10:00:00,16.5,4.76,193,6.8,NA,65,NA,NA,759.3,50,NA,NA
MC751,2020-10-28T21:00:00Z,10/28/2020,16:00:00,16.9,4.02,201.6,6.54,NA,NA,NA,NA,753.3,42.7,NA,NA
MC751,2020-11-06T14:15:00Z,11/6/2020,9:20:00,11.9,6.5,154.9,6.85,NA,66,Removed sensors,NA,761,59.7,NA,NA
NHC,NA,9/22/2017,NA,21.1,2.43,NA,6.58,NA,62,NA,NA,NA,NA,NA,NA
NHC,NA,7/12/2018,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA
MC751,NA,5/8/2019,NA,NA,NA,NA,NA,NA,NA,Moved fence post so that it is vertical and in slightly deeper water,NA,NA,NA,NA,NA
