sample_name,site,date,time,cl_mgl,so4_mgl,br_mgl,no3n_mgl,na_mgl,mg_mgl,ca_mgl,nh4n_mgl,po4p_mgl,doc_mgl,tdn_mgl
MC751_9-27-20,mc751,2020-09-27,,8.65,6.31,0.09,0.1356,7.26,3.99,13.92,<0.01,<0.01,4.516,0.3122
MC751_4-4-20,mc751,2020-04-04,,18.51,11.05,0.18,0.0134,13.2,7.56,19.49,0.0211325,<0.01,3.247,0.1571
CBP_3-11-20,cbp,2020-03-11,,10.73,8.15,0.09,0.0193,6.85,3.9,12.94,<0.01,<0.01,2.471,0.1166
WB_3-20-20,wb,2020-03-20,,10.46,7.31,0.05,0.0033,6.85,4.11,13.88,<0.01,<0.01,3.14,0.1237
PM_3-11-20,pm,2020-03-11,,10.71,8.26,0.09,0.0055,6.94,3.92,12.8,<0.01,<0.01,2.481,0.1103
CBP_3-20-20,cbp,2020-03-20,,11.15,7.53,0.09,0.0015,7.07,4.04,13.3,<0.01,<0.01,3.201,0.1184
MC751_6-5-20,mc751,2020-06-05,,13.92,8.06,0.14,0.1245,10.96,6.5,17.76,0.049577,<0.01,4.039,0.3173
MC751_8/20/20,mc751,2020-08-20,,7.48,3.59,<0.03,0.1098,6.56,4.17,12.41,0.016553,0.0112616,5.709,0.3697
PM_2019-12-03,pm,2019-12-03,13:33,11.61735819,10.12690927,,0.12798946,,,,<0.01,0.00823,5.7,0.3426
CBP_2019-12-03,cbp,2019-12-03,11:09,11.92233326,10.6992148,,0.280212717,,,,<0.01,0.00834,5.821,0.4894
WB_2019-12-03,wb,2019-12-03,12:25,11.8108469,11.76230558,,0.813494029,,,,0.00199,0.00792,6.471,1.076
WBP_2019-12-03,wbp,2019-12-03,12:44,11.97393025,11.89373621,,0.850737486,,,,0.00114,0.0115,6.677,1.11
MC751_2019-12-03,mc751,2019-12-03,14:12,10.54979189,12.48600588,,0.057751799,,,,0.00381,0.00907,5.407,0.2266
PM_2019-11-26,pm,2019-11-26,13:29,13.12872003,14.93202971,,0.02638231,,,,<0.01,0.0074,4.641,0.1529
CBP_2019-11-26,cbp,2019-11-26,14:19,14.15083184,13.86311605,,0.023382837,,,,<0.01,1.14,4.651,0.1559
WB_2019-11-26,wb,2019-11-26,14:42,13.04364642,11.78143789,,0.045004039,,,,<0.01,0.00714,5.046,0.1849
WBP_2019-11-26,wbp,2019-11-26,14:54,14.1133626,12.33710662,,0.051877831,,,,<0.01,0.00807,5.18,0.1845
MC751_2019-11-26,mc751,2019-11-26,15:24,11.19321864,16.0333851,,0.032006322,,,,<0.01,0.00824,4.666,0.185
PM_2019-11-20,pm,2019-11-20,11:40,10.64530774,13.10655809,,0.035755663,,,,<0.01,0.00939,3.768,0.1173
CBP_2019-11-20,cbp,2019-11-20,13:27,10.41619253,11.7564827,,0.026882222,,,,<0.01,0.00487,3.609,0.1187
WB_2019-11-20,wb,2019-11-20,12:37,10.10415359,12.42694528,,0.033381081,,,,<0.01,0.00649,4.175,0.1488
WBP_2019-11-20,wbp,2019-11-20,12:55,10.51692952,12.64447129,,0,,,,<0.01,0.00713,4.429,0.168
MC751_2019-11-20,mc751,2019-11-20,14:05,10.84524608,10.39600933,,0.029131827,,,,0.000444,0.00666,4.517,0.1613
NHC_2019-11-11,nhc,2019-11-11,14:40,8.278295807,8.047310712,,0.048003512,,,,<0.01,0.0117,3.275,0.1147
UNHC_2019-11-11,unhc,2019-11-11,14:01,10.94690444,11.72112953,,0.181355084,,,,<0.01,0.00578,2.895,0.2587
CBP_2019-11-11,cbp,2019-11-11,13:26,12.5150844,13.00590552,,0.044629105,,,,<0.01,0.00721,3.876,0.1392
WB_2019-11-11,wb,2019-11-11,12:43,9.28627987,12.55795999,,0.062500965,,,,<0.01,0.00466,4.698,0.1713
WBP_2019-11-11,wbp,2019-11-11,13:05,9.537200948,12.33627478,,0.021508166,,,,<0.01,0.00569,4.921,0.17
MC751_2019-11-11,mc751,2019-11-11,15:10,13.3215945,7.729963971,,0.032881168,,,,<0.01,0.00652,4.666,0.1516
PM_2019-10-29,pm,2019-10-29,,7.387019222,10.89885626,,0.037505356,,,,0.000969,0.00834,4.193,0.1713
CBP_2019-10-29,cbp,2019-10-29,,8.117669462,12.08880255,,0.038255224,,,,0.000888,0.00488,4.348,0.1665
WB_2019-10-29,wb,2019-10-29,,8.618590244,10.75245252,,0.045129017,,,,<0.01,0.00384,4.784,0.1841
WBP_2019-10-29,wbp,2019-10-29,,8.774609715,10.85684837,,0.046878709,,,,0.00316,0.00552,4.888,0.2005
MC751_2019-10-29,mc751,2019-10-29,,11.9598025,7.42800626,,0.05000316,,,,0.000823,0.00457,5.743,0.1755
PM_2019-10-05,pm,2019-10-05,14:35,7.866748383,4.747819635,,0.041629631,,,,<0.01,0.00756,5.41,0.2283
CBP_2019-10-05,cbp,2019-10-05,11:43,8.672029984,5.368787765,,0.029506761,,,,<0.01,0.00502,5.768,0.2492
WB_2019-10-05,wb,2019-10-05,16:46,8.52829551,3.780806304,,0.038880115,,,,0.00535,0.00559,5.792,0.2826
WBP_2019-10-05,wbp,2019-10-05,17:28,8.635174991,4.079020738,,0.032506234,,,,0.000459,0.00705,5.889,0.3202
MC751_2019-10-05,mc751,2019-10-07,11:03,16.84247484,1.426284814,,0.029881695,,,,0.0825,0.00769,8.509,0.382
PM_2019-08-02,pm,2019-08-02,10:05,7.305016863,5.817565135,,0.044504126,,,,0.00889,0.00872,5.118,0.2283
CBP_2019-08-02,cbp,2019-08-02,11:17,7.620434179,6.38779106,,0.077873264,,,,0.00364,0.00483,4.743,0.244
WB_2019-08-02,wb,2019-08-05,10:48,8.352927168,5.356310174,,0.082497452,,,,0.00488,0.00547,4.151,0.2404
WBP_2019-08-02,wbp,2019-08-05,11:03,8.356612667,5.441157795,,0.069999647,,,,<0.01,0.00857,4.366,0.2107
PWC_2019-08-02,pwc,2019-08-05,11:34,9.321906363,5.489820402,,0.102493939,,,,<0.01,0.00453,4.183,0.2426
MC751_2019-08-08,mc751,2019-08-08,,8.354462793,6.578282288,,0.111617336,,,,0.0355,0.00641,3.664,0.2696
MC751_2019-07-31,mc751,2019-07-31,,14.66956587,6.415657681,,0.078373176,,,,0.0497,0.00963,4.056,0.2525
PM_2019-07-19,pm,2019-07-19,,10.41371334,4.933886576,,0.046129657,,,,0.025,0.0101,3.883,0.2534
CBP_2019-07-19,cbp,2019-07-19,,10.60535193,4.910158303,,0.077372837,,,,0.00537,0.00824,3.812,0.243
WB_2019-07-19,wb,2019-07-19,,10.39235424,4.37566888,,0.124970751,,,,0.00761,0.0066,3.472,0.276
WBP_2019-07-19,wbp,2019-07-19,,10.41223007,4.467766756,,0.083914731,,,,0.0142,0.0094,3.623,0.2497
PWC_2019-07-19,pwc,2019-07-19,,10.72460691,4.346310168,,0.097900847,,,,0.037,0.00603,3.716,0.28
CBP_2019-07-02,cbp,2019-07-02,,8.85894884,4.802375635,,0.175726821,,,,0.0135,0.00653,4.361,0.3822
WB_2019-07-02,wb,2019-07-02,,8.585137042,4.619386405,,0.217008424,,,,0.0107,0.00773,4.081,0.4103
WBP_2019-07-02,wbp,2019-07-02,,8.697272318,4.607723355,,0.200540899,,,,0.0213,0.0107,4.091,0.401
PWC_2019-07-02,pwc,2019-07-02,,9.089745783,4.742451689,,0.192419928,,,,0.0269,0.00906,4.012,0.387
MC751_2019-07-02,mc751,2019-07-02,,16.1216362,5.385125954,,0.061469269,,,,0.0757,0.00906,4.215,0.2766
NHC_2019-03-19,nhc,2019-03-19,11:31,8.850162451,6.023029473,,0.063250833,,,,<0.01,0.00753,0.00676,0
PM_2019-03-19,pm,2019-03-19,13:24,9.519080576,6.43146263,,0.078498154,,,,0.00219,0.00591,2.59,0.1391
CBP_2019-03-19,cbp,2019-03-19,14:39,9.60630406,6.364915476,,0.099994378,,,,<0.01,0.0064,2.52,0.216
WB_2019-03-19,wb,2019-03-19,16:51,8.989597175,6.226414212,,0.138362637,,,,<0.01,0.00742,2.417,0.1962
WBP_2019-03-19,wbp,2019-03-19,16:56,9.008946046,6.221423175,,0.135363164,,,,<0.01,0.00701,2.406,0.1975
PWC_2019-03-19,pwc,2019-03-19,17:48,9.09801228,6.270085782,,0.123740206,,,,0.00211,0.00638,2.54,0.2069
UNHC_2019-03-19,unhc,2019-03-19,19:08,9.353540232,6.317916549,,0.152735112,,,,<0.01,0.0066,2.585,0.2245
